Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,196,7,Some Random Commen with Id 0
1,0,1,54,8,Some Random Commen with Id 1
2,0,1,9,6,Some Random Commen with Id 2
3,0,1,123,1,Some Random Commen with Id 3
4,0,1,52,9,Some Random Commen with Id 4
5,1,8,27,0,Some Random Commen with Id 5
6,1,8,112,6,Some Random Commen with Id 6
7,1,8,115,1,Some Random Commen with Id 7
8,1,8,19,3,Some Random Commen with Id 8
9,1,8,161,0,Some Random Commen with Id 9
10,1,8,63,9,Some Random Commen with Id 10
11,1,8,80,7,Some Random Commen with Id 11
12,1,8,191,8,Some Random Commen with Id 12
13,1,8,164,8,Some Random Commen with Id 13
14,2,8,141,1,Some Random Commen with Id 14
15,2,8,12,2,Some Random Commen with Id 15
16,2,8,79,1,Some Random Commen with Id 16
17,3,9,190,2,Some Random Commen with Id 17
18,3,9,5,5,Some Random Commen with Id 18
19,3,9,151,2,Some Random Commen with Id 19
20,3,9,102,3,Some Random Commen with Id 20
21,3,9,170,8,Some Random Commen with Id 21
22,3,9,150,8,Some Random Commen with Id 22
23,3,9,196,4,Some Random Commen with Id 23
24,3,9,152,4,Some Random Commen with Id 24
25,3,9,176,6,Some Random Commen with Id 25
26,4,8,53,2,Some Random Commen with Id 26
27,5,8,163,2,Some Random Commen with Id 27
28,5,8,77,9,Some Random Commen with Id 28
29,5,8,71,5,Some Random Commen with Id 29
30,5,8,78,8,Some Random Commen with Id 30
31,5,8,166,9,Some Random Commen with Id 31
32,5,8,94,9,Some Random Commen with Id 32
33,5,8,95,4,Some Random Commen with Id 33
34,5,8,7,7,Some Random Commen with Id 34
35,5,8,32,7,Some Random Commen with Id 35
36,6,8,10,7,Some Random Commen with Id 36
37,6,8,197,0,Some Random Commen with Id 37
38,6,8,185,3,Some Random Commen with Id 38
39,6,8,43,2,Some Random Commen with Id 39
40,6,8,59,7,Some Random Commen with Id 40
41,6,8,161,3,Some Random Commen with Id 41
42,6,8,107,6,Some Random Commen with Id 42
43,7,1,61,0,Some Random Commen with Id 43
44,7,1,123,5,Some Random Commen with Id 44
45,7,1,25,4,Some Random Commen with Id 45
46,7,1,119,9,Some Random Commen with Id 46
47,7,1,101,1,Some Random Commen with Id 47
48,8,6,26,4,Some Random Commen with Id 48
49,8,6,94,6,Some Random Commen with Id 49
50,8,6,41,1,Some Random Commen with Id 50
51,8,6,172,8,Some Random Commen with Id 51
52,8,6,22,9,Some Random Commen with Id 52
53,8,6,88,3,Some Random Commen with Id 53
54,8,6,90,1,Some Random Commen with Id 54
55,8,6,88,6,Some Random Commen with Id 55
56,9,3,39,8,Some Random Commen with Id 56
57,9,3,141,0,Some Random Commen with Id 57
58,9,3,148,3,Some Random Commen with Id 58
59,10,0,163,1,Some Random Commen with Id 59
60,10,0,181,6,Some Random Commen with Id 60
61,10,0,189,5,Some Random Commen with Id 61
62,10,0,59,4,Some Random Commen with Id 62
63,10,0,91,3,Some Random Commen with Id 63
64,10,0,155,6,Some Random Commen with Id 64
